"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","210","TC_PLT_API_USER_02 Verify that regular User can search plants by name via API","","2026-02-07","passed","2026-02-07","","Plant User API Tests","",""
"","116","Sell a plant successfully via API","","2026-02-07","passed","2026-02-07","","Sales Admin API","",""
"","668","TC_CAT_UI_07 Verify search with non-existent name shows no results","","2026-02-07","passed","2026-02-07","","Category Management UI - Admin","",""
"","2197","TC_PLT_UI_USER_01 Verify that User can use search functionality to find plants by name","","2026-02-07","passed","2026-02-07","","Plant List User UI","",""
"","140","Search categories with pagination successfully","","2026-02-07","passed","2026-02-07","","Category Admin API","",""
"","173","UI_DASH_ADMIN_003 Dashboard card - Manage Plants redirects correctly","","2026-02-07","passed","2026-02-07","","Dashboard Admin UI","",""
"","101","Get all sales without token should be unauthorized","","2026-02-07","passed","2026-02-07","","Sales Admin API","",""
"","","Oops...we found an error preparing this test file: CategoryApiAdmin.feature","","","broken","","","CategoryApiAdmin.feature","",""
"","286","TC_PLT_API_USER_01 Verify that regular User can retrieve paginated list of plants via API","","2026-02-07","passed","2026-02-07","","Plant User API Tests","",""
"","25","API_DASH_USER_003 User can fetch categories list","","2026-02-07","passed","2026-02-07","","Dashboard API - User (Savindu R.H. - Group 28)","",""
"","104","Create category returns bad request","","2026-02-07","passed","2026-02-07","","Category Admin API","",""
"","141","TC_CAT_UI_04 Verify category levender is displayed in the table","","2026-02-07","passed","2026-02-07","","Category Management UI - Admin","",""
"","103","Sell plant with non-existing id should return 404","","2026-02-07","passed","2026-02-07","","Sales Admin API","",""
"","702","TC_SALES_UI_ADMIN_04 Verify validation error when Plant is not selected","","2026-02-07","passed","2026-02-07","","Sales Management Admin UI","",""
"","100","Search categories with invalid pagination returns bad request","","2026-02-07","passed","2026-02-07","","Category Admin API","",""
"","233","TC_CAT_UI_09 Verify ID column sorting works","","2026-02-07","passed","2026-02-07","","Category Management UI - Admin","",""
"","685","TC_SALES_UI_ADMIN_06 Verify validation error when selling more than available stock","","2026-02-07","passed","2026-02-07","","Sales Management Admin UI","",""
"","578","TC-Admin-Plants-06 Verify reset button functionality","","2026-02-07","passed","2026-02-07","","Plant List Admin UI","",""
"","102","UI_DASH_ADMIN_006 Inventory is disabled in sidebar","","2026-02-07","passed","2026-02-07","","Dashboard Admin UI","",""
"","100","TC_CAT_API_USER_08 Verify User can view categories with parent info","","2026-02-07","passed","2026-02-07","","Category API - User Operations","",""
"","357","TC-Admin-Plants-09 Sort plants by Price","","2026-02-07","passed","2026-02-07","","Plant List Admin UI","",""
"","129","TC_SALES_UI_USER_02 Verify User cannot see Sell Plant button","","2026-02-07","passed","2026-02-07","","Sales Management User UI","",""
"","122","Delete a sale successfully via API","","2026-02-07","passed","2026-02-07","","Sales Admin API","",""
"","662","TC-Admin-Plants-04 Search plants by invalid plant name","","2026-02-07","passed","2026-02-07","","Plant List Admin UI","",""
"","304","TC_SALES_UI_ADMIN_07 Verify alert disappears when close button is clicked","","2026-02-07","failed","2026-02-07","","Sales Management Admin UI","",""
"","2564","TC_PLT_UI_ADMIN_01 Verify that an Admin can view the Actions column and Add a Plant button is visible","","2026-02-07","passed","2026-02-07","","Plant List Admin UI","",""
"","152","TC_PLT_API_ADMIN_05 Verify that new plant create API rejects parent categories","","2026-02-07","passed","2026-02-07","","Plant Admin API Tests","",""
"","148","Sell plant without token should be unauthorized","","2026-02-07","passed","2026-02-07","","Sales Admin API","",""
"","95","TC_CAT_API_USER_10 Verify search with non-existent name returns empty result","","2026-02-07","passed","2026-02-07","","Category API - User Operations","",""
"","135","API_DASH_USER_001 User login returns token","","2026-02-07","passed","2026-02-07","","Dashboard API - User (Savindu R.H. - Group 28)","",""
"","5303","TC_PLT_UI_ADMIN_02 Verify that Edit action is only visible to admin","","2026-02-07","passed","2026-02-07","","Plant List Admin UI","",""
"","109","TC_CAT_API_USER_05 Verify User cannot delete a category","","2026-02-07","passed","2026-02-07","","Category API - User Operations","",""
"","23","API_DASH_ADMIN_005 Admin can fetch sales list","","2026-02-07","passed","2026-02-07","","Dashboard API - Admin (Savindu R.H. - Group 28)","",""
"","1537","TC_CAT_UI_01 Verify Categories page loads with table visible","","2026-02-07","passed","2026-02-07","","Category Management UI - Admin","",""
